學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,年份
4,國立臺灣師範大學,02322029,國文學系,D 日,B 學士,451,109
4,國立臺灣師範大學,03131003,教育心理與輔導學系,D 日,B 學士,182,109
4,國立臺灣師範大學,03142041,地理學系,D 日,B 學士,317,109
4,國立臺灣師範大學,03143042,東亞學系,D 日,B 學士,219,109
4,國立臺灣師範大學,03214050,圖文傳播學系,D 日,B 學士,183,109
4,國立臺灣師範大學,04131051,企業管理學系,D 日,B 學士,241,109
4,國立臺灣師範大學,05111056,生命科學系,D 日,B 學士,256,109
4,國立臺灣師範大學,05191083,營養科學學士學位學程,D 日,B 學士,93,109
4,國立臺灣師範大學,05311059,化學系,D 日,B 學士,306,109
4,國立臺灣師範大學,05321060,地球科學系,D 日,B 學士,156,109
4,國立臺灣師範大學,05331061,物理學系,D 日,B 學士,262,109
4,國立臺灣師範大學,05411062,數學系,D 日,B 學士,387,109
4,國立臺灣師範大學,06131065,資訊工程學系,D 日,B 學士,245,109
4,國立臺灣師範大學,07141063,電機工程學系,D 日,B 學士,194,109
4,國立臺灣師範大學,07141080,光電工程學士學位學程,D 日,B 學士,45,109
4,國立臺灣師範大學,07151068,機電工程學系,D 日,B 學士,215,109
4,國立臺灣師範大學,07161081,車輛與能源工程學士學位學程,D 日,B 學士,75,109
4,國立臺灣師範大學,10141074,運動競技學系,D 日,B 學士,281,109
5,國立成功大學,02123113,工業設計學系,D 日,B 學士,185,109
5,國立成功大學,02221110,歷史學系,D 日,B 學士,245,109
5,國立成功大學,02311108,外國語文學系,D 日,B 學士,296,109
5,國立成功大學,02321106,台灣文學系,D 日,B 學士,180,109
5,國立成功大學,02322107,中國文學系,D 日,B 學士,234,109
5,國立成功大學,03111114,經濟學系,D 日,B 學士,245,109
5,國立成功大學,03121115,政治學系,D 日,B 學士,237,109
5,國立成功大學,03131117,心理學系,D 日,B 學士,280,109
5,國立成功大學,04111120,會計學系,D 日,B 學士,280,109
5,國立成功大學,04131121,企業管理學系,D 日,B 學士,234,109
5,國立成功大學,04199057,工業與資訊管理學系,D 日,B 學士,225,109
5,國立成功大學,04212001,法律學系,D 日,B 學士,274,109
5,國立成功大學,05111003,生命科學系,D 日,B 學士,191,109
5,國立成功大學,05121008,生物科技與產業科學系,D 日,B 學士,168,109
5,國立成功大學,05311017,化學系,D 日,B 學士,225,109
5,國立成功大學,05321019,地球科學系,D 日,B 學士,145,109
5,國立成功大學,05331021,物理學系,D 日,B 學士,200,109
5,國立成功大學,05411027,數學系,D 日,B 學士,225,109
5,國立成功大學,05421029,統計學系,D 日,B 學士,262,109
5,國立成功大學,06131036,資訊工程學系,D 日,B 學士,463,109
5,國立成功大學,07111050,化學工程學系,D 日,B 學士,534,109
5,國立成功大學,07112063,材料科學及工程學系,D 日,B 學士,366,109
5,國立成功大學,07121070,環境工程學系,D 日,B 學士,219,109
5,國立成功大學,07122026,水利及海洋工程學系,D 日,B 學士,187,109
5,國立成功大學,07132052,能源工程國際學士學位學程,D 日,B 學士,116,109
5,國立成功大學,07141032,電機工程學系,D 日,B 學士,663,109
5,國立成功大學,07141035,光電科學與工程學系,D 日,B 學士,198,109
5,國立成功大學,07141071,工程科學系,D 日,B 學士,273,109
5,國立成功大學,07151042,機械工程學系,D 日,B 學士,626,109
5,國立成功大學,07162043,航空太空工程學系,D 日,B 學士,261,109
5,國立成功大學,07163044,系統及船舶機電工程學系,D 日,B 學士,205,109
5,國立成功大學,07193061,生物醫學工程學系,D 日,B 學士,154,109
5,國立成功大學,07241064,資源工程學系,D 日,B 學士,174,109
