統計期,畢業年,學位,學門,薪資
113年 1月,111年畢業,碩士,商業及管理學門,60379.0
113年 1月,112年畢業,碩士,商業及管理學門,60048.0
113年 7月,109年畢業,碩士,商業及管理學門,64977.0
113年 7月,110年畢業,碩士,商業及管理學門,64044.0
113年 7月,111年畢業,碩士,商業及管理學門,62553.0
113年 7月,112年畢業,碩士,商業及管理學門,60884.0
113年 7月,113年畢業,碩士,商業及管理學門,66410.0
114年 1月,109年畢業,碩士,商業及管理學門,66610.0
114年 1月,110年畢業,碩士,商業及管理學門,65516.0
114年 1月,111年畢業,碩士,商業及管理學門,63789.0
114年 1月,112年畢業,碩士,商業及管理學門,62207.0
114年 1月,113年畢業,碩士,商業及管理學門,63316.0
114年 7月,109年畢業,碩士,商業及管理學門,67886.0
114年 7月,110年畢業,碩士,商業及管理學門,67204.0
114年 7月,111年畢業,碩士,商業及管理學門,65509.0
114年 7月,112年畢業,碩士,商業及管理學門,64067.0
114年 7月,113年畢業,碩士,商業及管理學門,63750.0
112年 1月,109年畢業,碩士,法律學門,61935.0
112年 1月,110年畢業,碩士,法律學門,55986.0
112年 1月,111年畢業,碩士,法律學門,55419.0
112年 7月,109年畢業,碩士,法律學門,64097.0
112年 7月,110年畢業,碩士,法律學門,58049.0
112年 7月,111年畢業,碩士,法律學門,56937.0
112年 7月,112年畢業,碩士,法律學門,57527.0
113年 1月,109年畢業,碩士,法律學門,66399.0
113年 1月,110年畢業,碩士,法律學門,59110.0
113年 1月,111年畢業,碩士,法律學門,58346.0
113年 1月,112年畢業,碩士,法律學門,55831.0
113年 7月,109年畢業,碩士,法律學門,68488.0
113年 7月,110年畢業,碩士,法律學門,61887.0
113年 7月,111年畢業,碩士,法律學門,60590.0
113年 7月,112年畢業,碩士,法律學門,58774.0
113年 7月,113年畢業,碩士,法律學門,55508.0
114年 1月,109年畢業,碩士,法律學門,70629.0
114年 1月,110年畢業,碩士,法律學門,63609.0
114年 1月,111年畢業,碩士,法律學門,62213.0
114年 1月,112年畢業,碩士,法律學門,59833.0
114年 1月,113年畢業,碩士,法律學門,55418.0
114年 7月,109年畢業,碩士,法律學門,72329.0
114年 7月,110年畢業,碩士,法律學門,65237.0
114年 7月,111年畢業,碩士,法律學門,64981.0
114年 7月,112年畢業,碩士,法律學門,61262.0
114年 7月,113年畢業,碩士,法律學門,58506.0
112年 1月,109年畢業,碩士,生命科學學門,47364.0
112年 1月,110年畢業,碩士,生命科學學門,47185.0
112年 1月,111年畢業,碩士,生命科學學門,45587.0
112年 7月,109年畢業,碩士,生命科學學門,48827.0
112年 7月,110年畢業,碩士,生命科學學門,48690.0
112年 7月,111年畢業,碩士,生命科學學門,45982.0
112年 7月,112年畢業,碩士,生命科學學門,48469.0
113年 1月,109年畢業,碩士,生命科學學門,49842.0
113年 1月,110年畢業,碩士,生命科學學門,49735.0
113年 1月,111年畢業,碩士,生命科學學門,47030.0
113年 1月,112年畢業,碩士,生命科學學門,44239.0
113年 7月,109年畢業,碩士,生命科學學門,52108.0
113年 7月,110年畢業,碩士,生命科學學門,51996.0
113年 7月,111年畢業,碩士,生命科學學門,49005.0
113年 7月,112年畢業,碩士,生命科學學門,45443.0
113年 7月,113年畢業,碩士,生命科學學門,51756.0
114年 1月,109年畢業,碩士,生命科學學門,53849.0
114年 1月,110年畢業,碩士,生命科學學門,53830.0
114年 1月,111年畢業,碩士,生命科學學門,50733.0
114年 1月,112年畢業,碩士,生命科學學門,47895.0
114年 1月,113年畢業,碩士,生命科學學門,47918.0
114年 7月,109年畢業,碩士,生命科學學門,55737.0
114年 7月,110年畢業,碩士,生命科學學門,55932.0
114年 7月,111年畢業,碩士,生命科學學門,53525.0
114年 7月,112年畢業,碩士,生命科學學門,50088.0
114年 7月,113年畢業,碩士,生命科學學門,49099.0
112年 1月,109年畢業,碩士,環境學門,45670.0
112年 1月,110年畢業,碩士,環境學門,44470.0
112年 1月,111年畢業,碩士,環境學門,47224.0
112年 7月,109年畢業,碩士,環境學門,46835.0
112年 7月,110年畢業,碩士,環境學門,44938.0
112年 7月,111年畢業,碩士,環境學門,47037.0
112年 7月,112年畢業,碩士,環境學門,39719.0
113年 1月,109年畢業,碩士,環境學門,49106.0
113年 1月,110年畢業,碩士,環境學門,46083.0
113年 1月,111年畢業,碩士,環境學門,48944.0
113年 1月,112年畢業,碩士,環境學門,42477.0
113年 7月,109年畢業,碩士,環境學門,50249.0
113年 7月,110年畢業,碩士,環境學門,48513.0
113年 7月,111年畢業,碩士,環境學門,50182.0
113年 7月,112年畢業,碩士,環境學門,45339.0
113年 7月,113年畢業,碩士,環境學門,47662.0
114年 1月,109年畢業,碩士,環境學門,52231.0
114年 1月,110年畢業,碩士,環境學門,49883.0
114年 1月,111年畢業,碩士,環境學門,52008.0
114年 1月,112年畢業,碩士,環境學門,46347.0
114年 1月,113年畢業,碩士,環境學門,48765.0
114年 7月,109年畢業,碩士,環境學門,53886.0
114年 7月,110年畢業,碩士,環境學門,51517.0
114年 7月,111年畢業,碩士,環境學門,52663.0
114年 7月,112年畢業,碩士,環境學門,47471.0
114年 7月,113年畢業,碩士,環境學門,50582.0
112年 1月,109年畢業,碩士,物理、化學及地球科學學門,65206.0
112年 1月,110年畢業,碩士,物理、化學及地球科學學門,63063.0
112年 1月,111年畢業,碩士,物理、化學及地球科學學門,55470.0
112年 7月,109年畢業,碩士,物理、化學及地球科學學門,67975.0
112年 7月,110年畢業,碩士,物理、化學及地球科學學門,66154.0
112年 7月,111年畢業,碩士,物理、化學及地球科學學門,58964.0
112年 7月,112年畢業,碩士,物理、化學及地球科學學門,54782.0
113年 1月,109年畢業,碩士,物理、化學及地球科學學門,68493.0
113年 1月,110年畢業,碩士,物理、化學及地球科學學門,66558.0
113年 1月,111年畢業,碩士,物理、化學及地球科學學門,60482.0
113年 1月,112年畢業,碩士,物理、化學及地球科學學門,54591.0
113年 7月,109年畢業,碩士,物理、化學及地球科學學門,72134.0
113年 7月,110年畢業,碩士,物理、化學及地球科學學門,70212.0
113年 7月,111年畢業,碩士,物理、化學及地球科學學門,64069.0
113年 7月,112年畢業,碩士,物理、化學及地球科學學門,59223.0
113年 7月,113年畢業,碩士,物理、化學及地球科學學門,58087.0
114年 1月,109年畢業,碩士,物理、化學及地球科學學門,74521.0
114年 1月,110年畢業,碩士,物理、化學及地球科學學門,71924.0
114年 1月,111年畢業,碩士,物理、化學及地球科學學門,65923.0
114年 1月,112年畢業,碩士,物理、化學及地球科學學門,62536.0
114年 1月,113年畢業,碩士,物理、化學及地球科學學門,59862.0
114年 7月,109年畢業,碩士,物理、化學及地球科學學門,78794.0
114年 7月,110年畢業,碩士,物理、化學及地球科學學門,76431.0
114年 7月,111年畢業,碩士,物理、化學及地球科學學門,70143.0
114年 7月,112年畢業,碩士,物理、化學及地球科學學門,67027.0
114年 7月,113年畢業,碩士,物理、化學及地球科學學門,64397.0
112年 1月,109年畢業,碩士,數學及統計學門,55752.0
112年 1月,110年畢業,碩士,數學及統計學門,54602.0
112年 1月,111年畢業,碩士,數學及統計學門,50948.0
112年 7月,109年畢業,碩士,數學及統計學門,57885.0
112年 7月,110年畢業,碩士,數學及統計學門,56494.0
112年 7月,111年畢業,碩士,數學及統計學門,52178.0
112年 7月,112年畢業,碩士,數學及統計學門,48687.0
113年 1月,109年畢業,碩士,數學及統計學門,60412.0
113年 1月,110年畢業,碩士,數學及統計學門,57645.0
113年 1月,111年畢業,碩士,數學及統計學門,53446.0
113年 1月,112年畢業,碩士,數學及統計學門,49253.0
113年 7月,109年畢業,碩士,數學及統計學門,62379.0
113年 7月,110年畢業,碩士,數學及統計學門,59932.0
113年 7月,111年畢業,碩士,數學及統計學門,55892.0
113年 7月,112年畢業,碩士,數學及統計學門,51421.0
113年 7月,113年畢業,碩士,數學及統計學門,50625.0
114年 1月,109年畢業,碩士,數學及統計學門,64216.0
114年 1月,110年畢業,碩士,數學及統計學門,61682.0
114年 1月,111年畢業,碩士,數學及統計學門,56790.0
114年 1月,112年畢業,碩士,數學及統計學門,53336.0
114年 1月,113年畢業,碩士,數學及統計學門,51950.0
114年 7月,109年畢業,碩士,數學及統計學門,67613.0
114年 7月,110年畢業,碩士,數學及統計學門,65109.0
114年 7月,111年畢業,碩士,數學及統計學門,59729.0
114年 7月,112年畢業,碩士,數學及統計學門,56253.0
114年 7月,113年畢業,碩士,數學及統計學門,55265.0
112年 1月,109年畢業,碩士,資訊通訊科技學門,67304.0
112年 1月,110年畢業,碩士,資訊通訊科技學門,65996.0
112年 1月,111年畢業,碩士,資訊通訊科技學門,64477.0
112年 7月,109年畢業,碩士,資訊通訊科技學門,70117.0
112年 7月,110年畢業,碩士,資訊通訊科技學門,68432.0
