統計期,畢業年,學位,學門,薪資
113年 7月,112年畢業,學士,新聞學及圖書資訊學門,33646.0
113年 7月,113年畢業,學士,新聞學及圖書資訊學門,33000.0
114年 1月,109年畢業,學士,新聞學及圖書資訊學門,39803.0
114年 1月,110年畢業,學士,新聞學及圖書資訊學門,38237.0
114年 1月,111年畢業,學士,新聞學及圖書資訊學門,36341.0
114年 1月,112年畢業,學士,新聞學及圖書資訊學門,35031.0
114年 1月,113年畢業,學士,新聞學及圖書資訊學門,34250.0
114年 7月,109年畢業,學士,新聞學及圖書資訊學門,41025.0
114年 7月,110年畢業,學士,新聞學及圖書資訊學門,39436.0
114年 7月,111年畢業,學士,新聞學及圖書資訊學門,37825.0
114年 7月,112年畢業,學士,新聞學及圖書資訊學門,36449.0
114年 7月,113年畢業,學士,新聞學及圖書資訊學門,35206.0
112年 1月,109年畢業,學士,商業及管理學門,35853.0
112年 1月,110年畢業,學士,商業及管理學門,34719.0
112年 1月,111年畢業,學士,商業及管理學門,33081.0
112年 7月,109年畢業,學士,商業及管理學門,36946.0
112年 7月,110年畢業,學士,商業及管理學門,35788.0
112年 7月,111年畢業,學士,商業及管理學門,34338.0
112年 7月,112年畢業,學士,商業及管理學門,33094.0
113年 1月,109年畢業,學士,商業及管理學門,38596.0
113年 1月,110年畢業,學士,商業及管理學門,37466.0
113年 1月,111年畢業,學士,商業及管理學門,35924.0
113年 1月,112年畢業,學士,商業及管理學門,34314.0
113年 7月,109年畢業,學士,商業及管理學門,40035.0
113年 7月,110年畢業,學士,商業及管理學門,38960.0
113年 7月,111年畢業,學士,商業及管理學門,37376.0
113年 7月,112年畢業,學士,商業及管理學門,35880.0
113年 7月,113年畢業,學士,商業及管理學門,34858.0
114年 1月,109年畢業,學士,商業及管理學門,41548.0
114年 1月,110年畢業,學士,商業及管理學門,40619.0
114年 1月,111年畢業,學士,商業及管理學門,39049.0
114年 1月,112年畢業,學士,商業及管理學門,37603.0
114年 1月,113年畢業,學士,商業及管理學門,36041.0
114年 7月,109年畢業,學士,商業及管理學門,42753.0
114年 7月,110年畢業,學士,商業及管理學門,41797.0
114年 7月,111年畢業,學士,商業及管理學門,40475.0
114年 7月,112年畢業,學士,商業及管理學門,39104.0
114年 7月,113年畢業,學士,商業及管理學門,37392.0
112年 1月,109年畢業,學士,法律學門,36285.0
112年 1月,110年畢業,學士,法律學門,34102.0
112年 1月,111年畢業,學士,法律學門,33163.0
112年 7月,109年畢業,學士,法律學門,37309.0
112年 7月,110年畢業,學士,法律學門,35760.0
112年 7月,111年畢業,學士,法律學門,33758.0
112年 7月,112年畢業,學士,法律學門,34997.0
113年 1月,109年畢業,學士,法律學門,39326.0
113年 1月,110年畢業,學士,法律學門,38144.0
113年 1月,111年畢業,學士,法律學門,35120.0
113年 1月,112年畢業,學士,法律學門,34804.0
113年 7月,109年畢業,學士,法律學門,41094.0
113年 7月,110年畢業,學士,法律學門,39922.0
113年 7月,111年畢業,學士,法律學門,37417.0
113年 7月,112年畢業,學士,法律學門,36154.0
113年 7月,113年畢業,學士,法律學門,34377.0
114年 1月,109年畢業,學士,法律學門,42929.0
114年 1月,110年畢業,學士,法律學門,41682.0
114年 1月,111年畢業,學士,法律學門,39610.0
114年 1月,112年畢業,學士,法律學門,38405.0
114年 1月,113年畢業,學士,法律學門,35136.0
114年 7月,109年畢業,學士,法律學門,44561.0
114年 7月,110年畢業,學士,法律學門,43506.0
114年 7月,111年畢業,學士,法律學門,41138.0
114年 7月,112年畢業,學士,法律學門,39759.0
114年 7月,113年畢業,學士,法律學門,36120.0
112年 1月,109年畢業,學士,生命科學學門,33336.0
112年 1月,110年畢業,學士,生命科學學門,32415.0
112年 1月,111年畢業,學士,生命科學學門,31213.0
112年 7月,109年畢業,學士,生命科學學門,34420.0
112年 7月,110年畢業,學士,生命科學學門,33285.0
112年 7月,111年畢業,學士,生命科學學門,32083.0
112年 7月,112年畢業,學士,生命科學學門,31314.0
113年 1月,109年畢業,學士,生命科學學門,35875.0
113年 1月,110年畢業,學士,生命科學學門,34527.0
113年 1月,111年畢業,學士,生命科學學門,33584.0
113年 1月,112年畢業,學士,生命科學學門,32431.0
113年 7月,109年畢業,學士,生命科學學門,37008.0
113年 7月,110年畢業,學士,生命科學學門,35517.0
113年 7月,111年畢業,學士,生命科學學門,34928.0
113年 7月,112年畢業,學士,生命科學學門,33505.0
113年 7月,113年畢業,學士,生命科學學門,31878.0
114年 1月,109年畢業,學士,生命科學學門,38450.0
114年 1月,110年畢業,學士,生命科學學門,36861.0
114年 1月,111年畢業,學士,生命科學學門,36294.0
114年 1月,112年畢業,學士,生命科學學門,35116.0
114年 1月,113年畢業,學士,生命科學學門,33446.0
114年 7月,109年畢業,學士,生命科學學門,39682.0
114年 7月,110年畢業,學士,生命科學學門,38426.0
114年 7月,111年畢業,學士,生命科學學門,37750.0
114年 7月,112年畢業,學士,生命科學學門,36590.0
114年 7月,113年畢業,學士,生命科學學門,34675.0
112年 1月,109年畢業,學士,環境學門,34369.0
112年 1月,110年畢業,學士,環境學門,33153.0
112年 1月,111年畢業,學士,環境學門,30955.0
112年 7月,109年畢業,學士,環境學門,34767.0
112年 7月,110年畢業,學士,環境學門,33865.0
112年 7月,111年畢業,學士,環境學門,32070.0
112年 7月,112年畢業,學士,環境學門,31338.0
113年 1月,109年畢業,學士,環境學門,36825.0
113年 1月,110年畢業,學士,環境學門,34831.0
113年 1月,111年畢業,學士,環境學門,33450.0
113年 1月,112年畢業,學士,環境學門,32014.0
113年 7月,109年畢業,學士,環境學門,38333.0
113年 7月,110年畢業,學士,環境學門,36195.0
113年 7月,111年畢業,學士,環境學門,35575.0
113年 7月,112年畢業,學士,環境學門,33557.0
113年 7月,113年畢業,學士,環境學門,32758.0
114年 1月,109年畢業,學士,環境學門,39294.0
114年 1月,110年畢業,學士,環境學門,37407.0
114年 1月,111年畢業,學士,環境學門,36970.0
114年 1月,112年畢業,學士,環境學門,35240.0
114年 1月,113年畢業,學士,環境學門,33849.0
114年 7月,109年畢業,學士,環境學門,40271.0
114年 7月,110年畢業,學士,環境學門,38868.0
114年 7月,111年畢業,學士,環境學門,38016.0
