學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,年份
2,國立清華大學,07141050,電子工程研究所,D 日,M 碩士,202,109
2,國立清華大學,07141052,光電工程研究所,D 日,M 碩士,132,109
2,國立清華大學,07141054,通訊工程研究所,D 日,M 碩士,162,109
2,國立清華大學,07151056,動力機械工程學系,D 日,M 碩士,299,109
2,國立清華大學,07151125,智慧生產與智能馬達電控產業碩士專班,D 日,M 碩士,6,109
2,國立清華大學,07151128,資通訊科技產品智慧設計控制與熱流產業碩士專班,D 日,M 碩士,3,109
2,國立清華大學,07151129,智慧生產與製造產業碩士專班,D 日,M 碩士,5,109
2,國立清華大學,07191061,工業工程與工程管理學系,D 日,M 碩士,187,109
2,國立清華大學,07191061,工業工程與工程管理學系,N 職,M 碩士,109,109
2,國立清華大學,07191123,智慧製造跨院高階主管碩士在職學位學程,N 職,M 碩士,40,109
2,國立清華大學,07193063,生醫工程與環境科學系,D 日,M 碩士,115,109
2,國立清華大學,07193065,生物醫學工程研究所,D 日,M 碩士,39,109
2,國立清華大學,07194059,奈米工程與微系統研究所,D 日,M 碩士,59,109
2,國立清華大學,07194066,工程與系統科學系,D 日,M 碩士,175,109
2,國立清華大學,07199070,全球營運管理碩士雙聯學位學程,D 日,M 碩士,15,109
2,國立清華大學,99999074,跨院國際碩士學位學程,D 日,M 碩士,40,109
3,國立臺灣大學,01131001,華語教學碩士學位學程,D 日,M 碩士,51,109
3,國立臺灣大學,02151002,音樂學研究所,D 日,M 碩士,28,109
3,國立臺灣大學,02152003,戲劇學系,D 日,M 碩士,32,109
3,國立臺灣大學,02191004,藝術史研究所,D 日,M 碩士,39,109
3,國立臺灣大學,02221012,歷史學系,D 日,M 碩士,81,109
3,國立臺灣大學,02222013,人類學系,D 日,M 碩士,35,109
3,國立臺灣大學,02231014,哲學系,D 日,M 碩士,39,109
3,國立臺灣大學,02311007,外國語文學系,D 日,M 碩士,71,109
3,國立臺灣大學,02311009,日本語文學系,D 日,M 碩士,47,109
3,國立臺灣大學,02312010,翻譯碩士學位學程,D 日,M 碩士,49,109
3,國立臺灣大學,02321005,臺灣文學研究所,D 日,M 碩士,38,109
3,國立臺灣大學,02322006,中國文學系,D 日,M 碩士,83,109
3,國立臺灣大學,02399011,語言學研究所,D 日,M 碩士,34,109
3,國立臺灣大學,03111015,經濟學系,D 日,M 碩士,127,109
3,國立臺灣大學,03111015,經濟學系,N 職,M 碩士,84,109
3,國立臺灣大學,03121016,政治學系,D 日,M 碩士,131,109
3,國立臺灣大學,03121016,政治學系,N 職,M 碩士,85,109
3,國立臺灣大學,03131019,心理學系,D 日,M 碩士,115,109
3,國立臺灣大學,03141018,社會學系,D 日,M 碩士,43,109
3,國立臺灣大學,03142021,地理環境資源學系,D 日,M 碩士,63,109
3,國立臺灣大學,03142021,地理環境資源學系,N 職,M 碩士,1,109
3,國立臺灣大學,03191023,國家發展研究所,D 日,M 碩士,210,109
3,國立臺灣大學,03191023,國家發展研究所,N 職,M 碩士,83,109
3,國立臺灣大學,03212024,新聞研究所,D 日,M 碩士,98,109
3,國立臺灣大學,03222025,圖書資訊學系,D 日,M 碩士,54,109
3,國立臺灣大學,04111027,會計學系,D 日,M 碩士,111,109
3,國立臺灣大學,04121032,財務金融學系,D 日,M 碩士,138,109
3,國立臺灣大學,04131026,商學研究所,D 日,M 碩士,137,109
3,國立臺灣大學,04131028,管理學院企業管理碩士專班,D 日,M 碩士,164,109
