學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
113,0007,國立陽明交通大學,05311036,應用化學系,D 日,B 學士,205,26,48,18 新竹市,1 一般
113,0007,國立陽明交通大學,05311039,永續化學科技國際研究生博士學位學程,D 日,D 博士,25,0,10,18 新竹市,1 一般
113,0007,國立陽明交通大學,05322178,太空系統工程研究所,D 日,M 碩士,28,5,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,05331040,物理研究所,D 日,D 博士,7,0,4,18 新竹市,1 一般
113,0007,國立陽明交通大學,05331040,物理研究所,D 日,M 碩士,72,9,18,18 新竹市,1 一般
113,0007,國立陽明交通大學,05331041,電子物理學系,D 日,D 博士,88,0,14,18 新竹市,1 一般
113,0007,國立陽明交通大學,05331041,電子物理學系,D 日,M 碩士,226,0,58,18 新竹市,1 一般
113,0007,國立陽明交通大學,05331041,電子物理學系,D 日,B 學士,247,20,57,18 新竹市,1 一般
113,0007,國立陽明交通大學,05399042,加速器光源科技與應用碩士學位學程,D 日,M 碩士,2,0,1,18 新竹市,1 一般
113,0007,國立陽明交通大學,05399044,理學院碩士在職專班,N 職,M 碩士,139,0,37,18 新竹市,1 一般
113,0007,國立陽明交通大學,05399044,理學院科學學士學位學程,D 日,B 學士,2,4,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,05411045,應用數學系,D 日,D 博士,17,0,3,18 新竹市,1 一般
113,0007,國立陽明交通大學,05411045,應用數學系,D 日,M 碩士,62,0,38,18 新竹市,1 一般
113,0007,國立陽明交通大學,05411045,應用數學系,D 日,B 學士,212,27,43,18 新竹市,1 一般
113,0007,國立陽明交通大學,05421047,統計學研究所,D 日,D 博士,9,0,2,18 新竹市,1 一般
113,0007,國立陽明交通大學,05421047,統計學研究所,D 日,M 碩士,43,7,23,18 新竹市,1 一般
113,0007,國立陽明交通大學,06121048,網路與資訊系統博士學位學程,D 日,D 博士,1,0,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,06121060,網路工程研究所,D 日,M 碩士,139,7,48,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131022,資訊管理研究所,D 日,D 博士,23,0,6,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131022,資訊管理研究所,D 日,M 碩士,83,7,33,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131058,資訊工程學系,D 日,B 學士,818,25,201,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131061,資訊科學與工程研究所,D 日,D 博士,139,0,20,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131061,資訊科學與工程研究所,D 日,M 碩士,480,9,129,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131069,資訊學院博士班,D 日,D 博士,2,0,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131092,數據科學與工程研究所,D 日,M 碩士,143,7,38,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131098,資訊學院國防資安管理碩士在職專班,N 職,M 碩士,63,0,11,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131104,智慧計算與科技研究所,D 日,M 碩士,87,8,14,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131106,智慧科學暨綠能學院博士班,D 日,D 博士,12,0,1,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131170,資通安全碩士學位學程,D 日,M 碩士,0,0,10,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131175,資訊學院科技犯罪偵查資通訊碩士在職專班,N 職,M 碩士,80,2,2,18 新竹市,1 一般
113,0007,國立陽明交通大學,06131182,資訊安全研究所,D 日,M 碩士,46,7,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,06132049,多媒體工程研究所,D 日,M 碩士,142,7,40,18 新竹市,1 一般
113,0007,國立陽明交通大學,06132103,智慧系統與應用研究所,D 日,M 碩士,47,1,13,18 新竹市,1 一般
113,0007,國立陽明交通大學,06199105,智慧與綠能產學研究所,D 日,M 碩士,40,4,14,18 新竹市,1 一般
113,0007,國立陽明交通大學,06199180,智能系統研究所,D 日,D 博士,15,0,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,06199180,智能系統研究所,D 日,M 碩士,131,0,21,18 新竹市,1 一般
113,0007,國立陽明交通大學,06199Y95,智慧科學暨綠能學院,D 日,,0,3,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,07112072,材料科學與工程學系,D 日,D 博士,124,0,17,18 新竹市,1 一般
113,0007,國立陽明交通大學,07112072,材料科學與工程學系,D 日,M 碩士,240,0,82,18 新竹市,1 一般
113,0007,國立陽明交通大學,07112072,材料科學與工程學系,D 日,B 學士,215,24,53,18 新竹市,1 一般
113,0007,國立陽明交通大學,07121076,環境工程研究所,D 日,D 博士,14,0,6,18 新竹市,1 一般
113,0007,國立陽明交通大學,07121076,環境工程研究所,D 日,M 碩士,56,7,26,18 新竹市,1 一般
113,0007,國立陽明交通大學,07132081,照明與能源光電研究所,D 日,M 碩士,87,7,19,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141050,電機工程學系,D 日,D 博士,62,0,11,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141050,電機工程學系,D 日,M 碩士,223,0,89,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141050,電機工程學系,D 日,B 學士,1079,41,252,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141053,電子研究所,D 日,D 博士,114,0,19,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141053,電子研究所,D 日,M 碩士,655,31,183,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141054,光電博士學位學程(台灣聯合大學系統),D 日,D 博士,9,0,3,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141055,光電工程學系,D 日,D 博士,61,0,8,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141055,光電工程學系,D 日,M 碩士,289,0,90,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141055,光電工程學系,D 日,B 學士,148,22,39,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141057,光電科技碩士在職專班,N 職,M 碩士,0,0,7,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141062,電信工程研究所,D 日,D 博士,35,0,5,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141062,電信工程研究所,D 日,M 碩士,377,19,95,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141064,電控工程研究所,D 日,D 博士,43,0,5,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141064,電控工程研究所,D 日,M 碩士,243,14,54,18 新竹市,1 一般
