學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
113,0007,國立陽明交通大學,07141065,光電系統研究所,D 日,M 碩士,91,6,33,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141065,光電系統研究所,N 職,M 碩士,52,0,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141066,國際半導體產業學院博士班,D 日,D 博士,79,0,13,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141066,國際半導體產業學院,D 日,M 碩士,191,0,32,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141067,電機學院博士班,D 日,D 博士,43,2,6,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141067,電機學院碩士在職專班,N 職,M 碩士,181,0,27,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141068,電機資訊國際博士學位學程,D 日,D 博士,60,0,16,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141068,電機資訊國際碩士學位學程,D 日,M 碩士,61,4,19,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141069,資訊學院碩士在職專班,N 職,M 碩士,117,2,15,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141074,奈米科學及工程學士學位學程,D 日,B 學士,0,0,24,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141099,人工智慧技術與應用碩士學位學程,D 日,M 碩士,63,0,24,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141101,光電學院博士班,D 日,D 博士,31,0,4,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141179,學士後電子與光子學士學位學程,D 日,B 學士,162,5,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141181,前瞻半導體研究所,D 日,D 博士,31,0,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141181,前瞻半導體研究所,D 日,M 碩士,174,0,29,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141184,半導體工程學系,D 日,B 學士,217,8,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,07141187,國際半導體人才教育專班,D 日,M 碩士,8,0,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,07151070,機械工程學系,D 日,D 博士,70,0,11,18 新竹市,1 一般
113,0007,國立陽明交通大學,07151070,機械工程學系,D 日,M 碩士,359,0,91,18 新竹市,1 一般
113,0007,國立陽明交通大學,07151070,機械工程學系,D 日,B 學士,422,24,83,18 新竹市,1 一般
113,0007,國立陽明交通大學,07151093,機器人碩士學位學程,D 日,M 碩士,63,2,26,18 新竹市,1 一般
113,0007,國立陽明交通大學,07191075,工業工程與管理學系,D 日,D 博士,29,0,5,18 新竹市,1 一般
113,0007,國立陽明交通大學,07191075,工業工程與管理學系,D 日,M 碩士,155,0,57,18 新竹市,1 一般
113,0007,國立陽明交通大學,07191075,工業工程與管理學系,D 日,B 學士,255,15,64,18 新竹市,1 一般
113,0007,國立陽明交通大學,07193077,生醫工程研究所,D 日,M 碩士,122,7,37,18 新竹市,1 一般
113,0007,國立陽明交通大學,07193079,影像與生醫光電研究所,D 日,M 碩士,79,6,24,18 新竹市,1 一般
113,0007,國立陽明交通大學,07193080,生醫科學與工程博士學位學程,D 日,D 博士,15,2,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,07193120,生醫光電研究所,D 日,D 博士,24,0,2,18 新竹市,1 一般
113,0007,國立陽明交通大學,07193120,生醫光電研究所,D 日,M 碩士,75,7,29,18 新竹市,1 一般
113,0007,國立陽明交通大學,07193122,生物醫學工程學系,D 日,D 博士,48,0,12,18 新竹市,1 一般
113,0007,國立陽明交通大學,07193122,生物醫學工程學系,D 日,M 碩士,104,0,39,18 新竹市,1 一般
113,0007,國立陽明交通大學,07193122,生物醫學工程學系,D 日,B 學士,114,14,28,18 新竹市,1 一般
113,0007,國立陽明交通大學,07193172,數位醫療學士學位學程,D 日,B 學士,1,2,1,18 新竹市,1 一般
113,0007,國立陽明交通大學,07199083,工學院碩士在職專班,N 職,M 碩士,402,0,83,18 新竹市,1 一般
113,0007,國立陽明交通大學,07199102,系統工程與科技學士學位學程,D 日,B 學士,589,0,185,18 新竹市,1 一般
113,0007,國立陽明交通大學,07199X50,產學創新研究學院,D 日,,0,10,0,18 新竹市,1 一般
